IPQA NO;Current Paper NO;Lot;Product Model;Equipment;Surface Treatment;Layout Design;Production Process;Edge Position;Board Specification;Board Length (mm);Board Width (mm);Minimum Hole Diameter (mm);Customer Number;Full Board Plating_Production Line Equipment Name;Full Board Plating_Copper Surface Requirement (um);Full Board Plating_Hole Copper Requirement (um);Full Board Plating_Copper Current Density;Full Board Plating_Spray Frequency (HZ);Full Board Plating_Copper Plating Time (min);Full Board Plating_Board Speed (m/min);Pattern Plating_Production;Pattern Plating_Copper Surface Requirement (um);Pattern Plating_Hole Copper Requirement (um);Pattern Plating_Plated Area (GTL);Pattern Plating_Plated Area (GBL);Pattern Plating_Copper Current Density;Pattern Plating_Tin Plating Current Density;Pattern Plating_Spray Frequency|Copper (HZ);Pattern Plating_Spray Frequency|Tin (HZ);Pattern Plating_Copper Plating Time (min);Pattern Plating_Tin Plating Time (min);Pattern Plating_Board Speed (m/min);Is Hole Plugged;Not Plugged;Plugged;Inspection Item;Requirement;Measured Range 1;Measured Range 2;Measured Range 3;Measured Range 4;Measured Range 5;Measured Range 6;Average Value;Judgment;min_requirement;judgement_criteria;label;thickness_min;thickness_max;thickness_mean;thickness_std;thickness_range;mfgpartId;Part Number;Panel Length;Panel Width;Part Length;Part Width;Line width/spacing (mm);Graphic Area C Side %;Graphic Area S Side %;Board Thickness (mm);Min. hole size;Total Hole Quantity;Ratio;Panel Size;Line Width (mm);Line Spacing (mm);is_vcp;minimal_thickness;maximal_thickness;thickness_asymmetry;thickness_req_ratio;thickness_delta;minimum_hole_diameter
DCI-20241208423;ECI-20241208001;WOA241128956-00-001-003;J0400377A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.1;622.0;370.0;0.35;H0080;东威;5;5;17;45.0;19.0;2;龙门;38-78;20;37.0;37.0;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;34.83;28.91;38.11;35.49;27.6;38.11;33.84;ACC;20.0;25.0;0;27.6;38.11;33.84;4.55;10.51;377383;J0400377A00.0;622.0;370.0;346.0;295.0;0.203/0.176;37.45;37.45;1.6;0.35;16530.0;4.571428571428572;230140.0;0.203;0.176;False;27.6;38.11;10.509999999999998;0.38000000000000006;7.600000000000001;0.35
DCI-20241208424;ECI-20241208002;WOA241204090-00-001-001;J0200384A00.0;2#龙门图电线;;A板;正片;短边;1.5;580.0;410.0;0.45mm;H0154;东威;5;5;17;45.0;19.0;2;龙门;35;20;43.0;27.0;17.0;10.0;;;60.0;8;;;;;孔铜;≥20平均25;49.94;32.86;42.06;51.26;32.2;42.71;41.83;REJ;20.0;25.0;0;32.2;51.26;41.84;8.11;19.06;384093;J0200384A00.0;580.0;410.0;193.64;184.758;0.254/0.252;43.09;27.51;1.6;0.45;3907.0;3.555555555555556;237800.0;0.254;0.252;False;32.2;51.26;19.059999999999995;0.6100000000000001;12.200000000000003;0.45
DCI-20241208426;ECI-20241208003;WOA241204078-00-001-002;J0200370A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;600.0;546.0;0.35;H0080;荣信;5;5;2.5;45.0;18.0;1.3;龙门;35;25;53.0;64.0;18.0;10.0;;;70.0;8;;;;;孔铜;≥25;34.83;25.63;34.17;33.51;25.63;33.51;30.75;ACC;25.0;30.0;1;25.63;34.83;31.21;4.35;9.2;381771;J0200370A00.0;600.0;546.0;181.0;113.5;0.125/0.125;53.3;64.4;1.6;0.35;16465.0;4.571428571428572;327600.0;0.125;0.125;False;25.63;34.83;9.2;0.02519999999999996;0.629999999999999;0.35
DCI-20241208602;ECI-20241208004;WOA241204078-00-001-002;J0200370A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;600.0;546.0;0.35;H0080;荣信;5;5;2.5;45.0;18.0;1.3;龙门;35;25;53.0;64.0;18.0;10.0;;;70.0;8;;;;;孔铜;≥25;38.77;30.0;39.43;36.14;31.54;41.4;36.21;ACC;25.0;30.0;0;30.0;41.4;36.21;4.57;11.4;381771;J0200370A00.0;600.0;546.0;181.0;113.5;0.125/0.125;53.3;64.4;1.6;0.35;16465.0;4.571428571428572;327600.0;0.125;0.125;False;30.0;41.4;11.399999999999999;0.2;5.0;0.35
DCI-20241208604;ECI-20241208005;WOA2411301020-00-001-004;J0400374A00.0;2#龙门图电线;沉金;A板;正片;短边;1.1;600.0;543.0;0.4;H0080;东威;5;5;17;45.0;19.0;2;龙门;35;20;69.0;78.0;17.0;10.0;;;60.0;8;;;;;孔铜;≥20平均25;37.15;26.57;36.48;37.46;27.13;38.53;33.88;ACC;20.0;25.0;0;26.57;38.53;33.89;5.49;11.96;376778;J0400374A00.0;600.0;543.0;258.5;189.5;0.2/0.157;69.26;78.17;1.6;0.4;9076.0;4.0;325800.0;0.2;0.157;False;26.57;38.53;11.96;0.3285;6.57;0.4
DCI-20241208605;ECI-20241208006;WOA241128950-00-001-005;J0400338A00.0;1#东威图电VCP线;OSP;A板;正片;短边;0.5;622.0;420.0;0.45;H0080;荣信;5;5;2.5;45.0;18.0;1.3;东威;47.9;18;24.0;23.0;26.0;16.0;45;40;36.0;6;1;;;;孔铜;≥18平均20;31.54;23.0;30.89;34.17;24.97;30.23;29.13;ACC;18.0;23.0;0;23.0;34.17;29.13;4.25;11.17;367704;J0400338A00.0;622.0;420.0;396.0;290.0;0.3/0.195;24.1;23.1;1.6;0.45;4640.0;3.555555555555556;261240.0;0.3;0.195;True;23.0;34.17;11.170000000000002;0.2777777777777778;5.0;0.45
DCI-20241209414;ECI-20241209001;WOA241205106-00-001-001;J0400407A00.0;2#龙门图电线;喷锡;A板;正片;短边;0.7;560.0;540.0;0.4;H0154;东威;5;5;17;45.0;19.0;2;龙门;70;20;38.4;39.7;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;33.85;24.62;31.38;32.0;23.38;35.08;30.05;ACC;20.0;25.0;1;23.38;35.08;30.05;4.88;11.7;381803;J0400407A00.0;560.0;540.0;266.9;168.0;0.254/0.252;38.4;39.7;1.6;0.4;9210.0;4.0;302400.0;0.254;0.252;False;23.38;35.08;11.7;0.16899999999999996;3.379999999999999;0.4
DCI-20241209415;ECI-20241209002;WOA241205105-00-001-001;J0600088A00.0;2#龙门图电线;喷锡;A板;正片;短边;;580.0;520.5;0.45;H0154;荣信;5;5;2.5;45.0;18.0;1.3;龙门;40;20;34.9;32.6;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;31.38;24.62;33.23;32.0;25.85;31.38;29.74;ACC;20.0;25.0;0;24.62;33.23;29.74;3.58;8.609999999999996;381431;J0600088A00.0;580.0;520.5;241.8;180.755;0.203/0.203;34.9;32.6;1.6;0.45;16459.0;3.555555555555556;301890.0;0.203;0.203;False;24.62;33.23;8.609999999999996;0.23100000000000004;4.620000000000001;0.45
DCI-20241209415;ECI-20241209002;WOA241205105-00-001-001;J0600088A00.0;2#龙门图电线;喷锡;A板;正片;短边;;580.0;520.5;0.45;H0154;荣信;5;5;2.5;45.0;18.0;1.3;龙门;40;20;34.9;32.6;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;31.38;24.62;33.23;32.0;25.85;31.38;29.74;ACC;20.0;25.0;0;24.62;33.23;29.74;3.58;8.609999999999996;381433;J0600088A00.0;580.0;520.5;241.8;180.755;;;;;;;;301890.0;;;False;24.62;33.23;8.609999999999996;0.23100000000000004;4.620000000000001;0.45
DCI-20241209416;ECI-20241209003;WOA2411291000-00-001-003;JB4C402TB1;2#龙门图电线;沉锡;A板;正片;短边;0.71;622.0;412.0;0.35;H0080;荣信;5;5;2.5;45.0;18.0;1.3;龙门;35;20;58.0;58.0;13.0;10.0;;;70.0;8;;;;;孔铜;≥20平均25;23.38;18.46;27.08;28.31;20.31;26.46;24;REJ;20.0;25.0;1;18.46;28.31;24.0;3.97;9.849999999999998;380140;JB4C402TB1;622.0;412.0;386.9;194.9;0.2/0.2;57.79;58.52;1.632;0.35;6951.0;4.662857142857143;256264.0;0.2;0.2;False;18.46;28.31;9.849999999999998;-0.07699999999999996;-1.5399999999999991;0.35
DCI-20241209423;ECI-20241209006;WOA241127941-00-001-002;J0400106D00.0;1#东威图电VCP线;喷锡;A板;正片;短边;1;560.0;508.0;0.35;H0153;东威;5;5;17;45.0;19.0;2;东威;47.9;18;42.0;44.0;28.0;16.0;45;40;36.0;6;1;;;;孔铜;≥18平均20;26.46;20.31;27.08;27.69;22.77;30.77;25.84;ACC;18.0;23.0;1;20.31;30.77;25.85;3.73;10.46;377328;J0400106D00.0;560.0;508.0;160.0;106.0;0.487/0.318;41.8;43.7;1.6;0.35;10579.0;4.571428571428572;284480.0;0.487;0.318;True;20.31;30.77;10.46;0.12833333333333327;2.3099999999999987;0.35
DCI-20241209577;ECI-20241209007;WOA241207188-00-001-001;J0200309A00.0;2#东威板电VCP线;沉金;A板;正片;短边;1.5;580.0;470.0;0.35;H0085;东威;52.9;20;32;50.0;55.7;0.7;;;;;;;;;;;;;;;;孔铜;≥20平均25;32.0;24.62;33.23;32.62;24.62;33.85;30.15;ACC;20.0;25.0;1;24.62;33.85;30.16;4.33;9.23;365318;J0200309A00.0;580.0;470.0;225.0;185.0;;;;1.65;0.35;8600.0;4.714285714285714;272600.0;;;True;24.62;33.85;9.23;0.23100000000000004;4.620000000000001;0.35
DCI-20241210497;ECI-20241210003;WOA241203032-00-001-001;JP80037LA0;2#龙门图电线;喷锡;A板;正片;短边;;502.0;470.0;0.25;H0053;东威;5;5;17;45.0;19.0;2;龙门;31;18;56.0;58.0;15.5;10.0;;;60.0;9;;;;;孔铜;≥18平均20;34.17;25.63;34.17;36.8;30.89;31.54;32.2;ACC;18.0;23.0;0;25.63;36.8;32.2;3.85;11.17;28483;JP80037LA0;502.0;470.0;233.35;220.0;0.104/0.127;56.0;58.0;1.6;0.25;12580.0;6.4;235940.0;0.104;0.127;False;25.63;36.8;11.169999999999998;0.4238888888888888;7.629999999999999;0.25
DCI-20241210498;ECI-20241210004;WOA2411291000-00-001-003;JB4C402TB1;2#龙门图电线;沉锡;A板;正片;短边;0.71;622.0;412.0;0.35;H0080;荣信;5;5;2.5;45.0;18.0;1.3;龙门;35;20;58.0;58.0;17.0;10.0;;;70.0;8;;;;;孔铜;≥20平均25;30.15;24.62;31.38;32.62;24.0;30.77;28.92;ACC;20.0;25.0;1;24.0;32.62;28.92;3.67;8.619999999999997;380140;JB4C402TB1;622.0;412.0;386.9;194.9;0.2/0.2;57.79;58.52;1.632;0.35;6951.0;4.662857142857143;256264.0;0.2;0.2;False;24.0;32.62;8.619999999999997;0.2;4.0;0.35
DCI-20241210499;ECI-20241210005;WOA2411301018-00-001-003;J0400332A01.0;2#龙门图电线;沉金;A板;正片;短边;0.8;580.0;448.0;0.35;H0080;荣信;5;5;2.5;45.0;18.0;1.3;龙门;35;18;60.0;66.0;15.0;10.0;;;70.0;8;;;;;孔铜;≥18平均20;32.0;24.0;28.31;32.62;23.38;28.31;28.1;ACC;18.0;23.0;0;23.38;32.62;28.1;3.87;9.239999999999998;377858;J0400332A01.0;580.0;448.0;336.0;211.0;0.127/0.15;60.18;66.58;1.6;0.35;18435.0;4.571428571428572;259840.0;0.127;0.15;False;23.38;32.62;9.239999999999998;0.2988888888888888;5.379999999999999;0.35
DCI-20241210597;ECI-20241210006;WOA241202011-00-005-018;JB4C683TA1;1#东威图电VCP线;沉锡;A板;正片;短边;0.6;500.0;470.0;0.3;H0080;东威;5;5;17;45.0;19.0;2;东威;35+15/-10;20;30.0;28.0;30.0;15.0;40;35;36.0;6;1;;;;孔铜;≥20平均25;33.23;28.31;35.69;33.85;28.31;33.23;32.1;ACC;20.0;25.0;0;28.31;35.69;32.1;3.07;7.379999999999999;380354;JB4C683TA1;500.0;470.0;234.8;222.0;0.15/0.2;30.54;27.78;1.2;0.3;11131.0;4.0;235000.0;0.15;0.2;True;28.31;35.69;7.379999999999999;0.4154999999999999;8.309999999999999;0.3
DCI-20241211241;ECI-20241211001;WOA241204077-00-002-002;JP2C058LB1;1#东威图电VCP线;喷锡;A板;正片;短边;1.5(含铜);520.5;415.0;0.4;H0080;东威;5;5;17;45.0;19.0;2;东威;52.87;20;31.0;52.0;30.0;16.0;45;40;36.0;6;1;;;;孔铜;≥20平均25;30.23;24.97;30.89;31.54;24.99;60.89;33.91;ACC;20.0;25.0;1;24.97;60.89;33.92;13.53;35.92;1519;JP2C058LB1;520.5;415.0;192.9;122.11;0.25/0.225;31.0;52.0;1.57;0.4;;3.925;216007.5;0.25;0.225;True;24.97;60.89;35.92;0.24849999999999994;4.969999999999999;0.4
DCI-20241211242;ECI-20241211002;WOA241207195-00-013-021;JB2C738LA0;1#东威图电VCP线;喷锡;A板;正片;短边;1.5(含铜);518.5;412.0;0.75;H0080;东威;5;5;17;45.0;19.0;2;东威;47.9;25;59.0;61.0;32.0;16.0;45;40;36.0;6;1;;;;孔铜;≥25;34.83;30.89;34.83;34.83;30.89;35.46;33.62;ACC;25.0;30.0;0;30.89;35.46;33.62;2.13;4.57;82852;JB2C738LA0;518.5;412.0;312.06;177.0;0.3/0.22;59.0;61.0;1.6;0.75;3839.0;2.133333333333333;213622.0;0.3;0.22;True;30.89;35.46;4.57;0.23560000000000003;5.890000000000001;0.75
DCI-20241212336;ECI-20241212003;WOA241202018-00-001-001;J0200060A00.1;1#东威图电VCP线;喷锡;A板;正片;短边;1;546.0;380.0;0.5mm;H0080;东威;5;5;17;45.0;19.0;2;东威;35;20;38.9;35.5;23.0;15.0;40;35;36.0;6;1;;;;孔铜;≥20平均25;40.74;33.51;40.09;41.4;36.8;42.71;39.2;ACC;20.0;25.0;0;33.51;42.71;39.21;3.42;9.200000000000003;362825;J0200060A00.1;546.0;380.0;360.0;170.0;0.4/0.4;38.9;35.5;1.1;0.5;1100.0;2.2;207480.0;0.4;0.4;True;33.51;42.71;9.200000000000003;0.6754999999999999;13.509999999999998;0.5
DCI-20241212337;ECI-20241212004;WOA241206161-00-001-001;J0800030A00.0;1#东威图电VCP线;沉金;A板;正片;短边;;520.5;388.0;0.25mm;H0080;荣信;5;5;2.5;45.0;18.0;1.3;东威;35;18;31.0;31.0;32.0;15.0;45;40;36.0;6;1;;;;孔铜;≥18平均20;30.23;24.31;30.89;31.54;24.31;32.2;28.91;ACC;18.0;23.0;0;24.31;32.2;28.91;3.63;7.890000000000004;382987;J0800030A00.0;520.5;388.0;231.31;176.51;0.109/0.114;31.0;31.0;1.6;0.25;15066.0;6.4;201954.0;0.109;0.114;True;24.31;32.2;7.890000000000004;0.3505555555555555;6.309999999999999;0.25
DCI-20241212534;ECI-20241212005;WOA241206156-00-001-003;JB2C689LA0;1#东威图电VCP线;喷锡;A板;正片;短边;1.5;600.0;518.5;0.4;H0080;东威;5;5;17;45.0;19.0;2;东威;52.9;20;84.0;82.0;32.0;16.0;45;40;36.0;6;1;;;;孔铜;≥20平均25;30.89;23.66;32.2;28.26;23.66;32.3;28.49;ACC;20.0;25.0;1;23.66;32.3;28.5;4.02;8.639999999999997;78576;JB2C689LA0;600.0;518.5;289.0;243.0;0.4/0.2;84.0;82.0;1.6;0.4;18494.0;4.0;311100.0;0.4;0.2;True;23.66;32.3;8.639999999999997;0.183;3.66;0.4
DCI-20241213496;ECI-20241213002;WOA241207191-00-001-002;JB2C119TA0;1#东威图电VCP线;沉锡;A板;正片;短边;1.5(含铜);615.0;362.0;0.5;;东威;5;5;15;45.0;19.0;2;东威;52.9-70;25;77.3;75.2;36.0;16.0;45;40;36.0;6;1;;;;孔铜;≥25;32.86;26.26;36.23;34.17;28.91;34.83;32.21;REJ;25.0;30.0;1;26.26;36.23;32.21;3.84;9.969999999999995;2166;JB2C119TA0;615.0;362.0;342.0;197.0;0.304/0.255;77.3;75.2;1.55;0.5;3900.0;3.1;222630.0;0.304;0.255;True;26.26;36.23;9.969999999999995;0.05040000000000006;1.2600000000000016;0.5
DCI-20241213497;ECI-20241213004;WOA241210283-00-001-001;J0400430A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.1;580.0;462.0;0.35mm;;东威;5;5;15;45.0;19.0;2;龙门;35;20;64.4;64.2;17.0;10.0;;;60.0;8;;;;;孔铜;≥20平均25;39.43;30.23;40.09;38.77;32.2;40.74;36.91;REJ;20.0;25.0;0;30.23;40.74;36.91;4.5;10.51;388630;J0400430A00.0;580.0;462.0;324.0;218.0;0.2/0.166;64.4;64.2;1.6;0.35;12353.0;4.571428571428572;267960.0;0.2;0.166;False;30.23;40.74;10.510000000000002;0.5115000000000001;10.23;0.35
DCI-20241213555;ECI-20241213005;WOA241212340-00-001-001;J0200396A00.0;2#东威板电VCP线;喷锡;A板;负片;短边;1.5;622.0;484.0;0.4;;东威;35;20;25;45.0;56.0;0.7;;;;;;;;;;;;;;;;孔铜;≥20平均25;32.36;23.66;34.17;33.51;24.17;33.51;30.22;ACC;20.0;25.0;1;23.66;34.17;30.23;4.93;10.51;388855;J0200396A00.0;622.0;484.0;370.4;230.8;;;;1.6;0.4;4203.0;4.0;301048.0;;;True;23.66;34.17;10.510000000000002;0.183;3.66;0.4
DCI-20241213559;ECI-20241213006;WOA241212388-00-001-001;J0200397A00.0;2#东威板电VCP线;喷锡;A板;负片;短边;1.5;622.0;546.0;0.4;;东威;35;20;25;45.0;56.0;0.7;;;;;;;;;;;;;;;;孔铜;≥20平均25;32.2;23.0;31.54;34.17;23.66;33.51;29.68;ACC;20.0;25.0;1;23.0;34.17;29.68;5.01;11.17;388848;J0200397A00.0;622.0;546.0;260.0;201.0;;;;1.6;0.4;5173.0;4.0;339612.0;;;True;23.0;34.17;11.170000000000002;0.15;3.0;0.4
DCI-20241213561;ECI-20241213007;WOA241212389-00-001-001;J0200398A00.0;2#东威板电VCP线;喷锡;A板;负片;短边;1.5;500.0;395.0;0.4;;东威;35;20;25;45.0;56.0;0.7;;;;;;;;;;;;;;;;孔铜;≥20平均25;32.0;23.66;31.54;31.54;23.66;36.14;29.75;ACC;20.0;25.0;1;23.66;36.14;29.76;5.03;12.48;388629;J0200398A00.0;500.0;395.0;375.0;240.0;;;;1.6;0.4;2872.0;4.0;197500.0;;;True;23.66;36.14;12.48;0.183;3.66;0.4
DCI-20241214395;ECI-20241214006;WOA241212390-00-001-001;J0200405A00.0;2#龙门图电线;;A板;正片;短边;1.5;600.0;546.0;0.4;H0001;荣信;5;5;2.5;45.0;18.0;1.3;龙门;35;25;46.6;56.6;15.0;10.0;;;90.0;8;;;;;孔铜;≥25;30.23;25.63;29.57;30.89;24.37;30.89;28.59;REJ;25.0;30.0;1;24.37;30.89;28.6;2.86;6.52;389785;J0200405A00.0;600.0;546.0;181.0;113.5;0.125/0.125;46.6;56.6;1.6;0.4;17307.0;4.0;327600.0;0.125;0.125;False;24.37;30.89;6.52;-0.02519999999999996;-0.629999999999999;0.4
DCI-20241214397;ECI-20241214007;WOA241209228-00-001-001;J0400405A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.1;600.0;535.0;0.4;H0154;东威;5;5;17;45.0;19.0;2;龙门;70;20;32.88;41.96;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;33.51;25.63;30.89;34.17;24.31;32.86;30.22;ACC;20.0;25.0;0;24.31;34.17;30.23;4.24;9.860000000000003;383957;J0400405A00.0;600.0;535.0;224.0;169.0;0.203/0.218;32.88;41.96;2.0;0.4;10489.0;5.0;321000.0;0.203;0.218;False;24.31;34.17;9.860000000000003;0.21549999999999994;4.309999999999999;0.4
DCI-20241214508;ECI-20241214008;WOA241209230-00-001-002;J0200378A00.0;2#东威板电VCP线;喷锡;A板;负片;短边;1.9;600.0;454.0;0.7;;东威;90-130;20;26;45.0;56.0;0.7;;;;;;;;;;;;;;;;孔铜;≥20平均25;34.83;23.66;36.8;35.49;23.66;35.45;31.64;ACC;20.0;25.0;1;23.66;36.8;31.65;6.22;13.14;381198;J0200378A00.0;600.0;454.0;566.28;88.09;;;;2.0;0.7;3435.0;2.857142857142857;272400.0;;;True;23.66;36.8;13.139999999999997;0.183;3.66;0.7
DCI-20241214509;ECI-20241214009;WOA241205111-00-004-006;J0400378A00.0;1#东威图电VCP线;沉金;A板;正片;短边;1.1;600.0;358.0;0.4;;东威;5;5;15;45.0;19.0;2;龙门;55-95;20;40.24;30.96;18.0;10.0;;;60.0;8;;;;;孔铜;≥20平均25;31.54;24.31;32.2;28.91;24.31;32.86;29.02;ACC;20.0;25.0;1;24.31;32.86;29.02;3.89;8.55;377812;J0400378A00.0;600.0;358.0;333.4;284.0;0.203/0.15;40.24;30.96;1.6;0.4;10909.0;4.0;214800.0;0.203;0.15;True;24.31;32.86;8.55;0.21549999999999994;4.309999999999999;0.4
DCI-20241214593;ECI-20241214010;WOA241210257-00-001-001;J0200391A00.0;2#东威板电VCP线;喷锡;A板;负片;短边;1.1;600.0;470.0;0.5;H0080;东威;35;25;30;45.0;55.7;0.7;;;;;;;;;;;;;;;;孔铜;≥25;44.69;34.83;46.0;44.69;37.46;46.66;42.38;ACC;25.0;30.0;0;34.83;46.66;42.39;4.97;11.83;384715;J0200391A00.0;600.0;470.0;188.0;110.0;;;;1.2;0.5;2949.0;2.4;282000.0;;;True;34.83;46.66;11.829999999999998;0.39319999999999994;9.829999999999998;0.5
DCI-20241214595;ECI-20241214011;WOA241209251-00-001-004;J0400403A00.0;1#东威图电VCP线;喷锡;A板;正片;短边;0.7;622.0;537.0;0.4;H0154;东威;5;5;17;45.0;19.0;2;东威;70;20;28.24;37.4;30.0;16.0;45;40;36.0;6;1;;;;孔铜;≥20平均25;35.49;31.54;40.62;36.8;30.89;42.06;36.23;ACC;20.0;25.0;0;30.89;42.06;36.23;4.57;11.17;382898;J0400403A00.0;622.0;537.0;214.0;169.0;0.203/0.201;28.24;37.4;1.6;0.4;8034.0;4.0;334014.0;0.203;0.201;True;30.89;42.06;11.170000000000002;0.5445;10.89;0.4
DCI-20241214596;ECI-20241214012;WOA241209212-00-001-002;JP40428LB0;1#东威图电VCP线;喷锡;A板;正片;短边;0.8(含铜);622.0;470.0;0.65;H0053;荣信;5;5;2.5;45.0;18.0;1.3;东威;58;25;27.0;37.0;34.0;16.0;45;40;36.0;6;1;;;;孔铜;≥25;34.83;30.23;38.11;35.49;29.57;38.11;34.39;ACC;25.0;30.0;0;29.57;38.11;34.39;3.73;8.54;60516;JP40428LB0;622.0;470.0;222.0;118.0;0.38/0.43;27.0;37.0;1.575;0.65;6160.0;2.423076923076923;292340.0;0.38;0.43;True;29.57;38.11;8.54;0.18280000000000002;4.57;0.65
DCI-20241215477;ECI-20241215002;WOA241213445-00-001-001;J0200320A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;622.0;528.0;0.3mm;H0080;东威;5;5;17;45.0;19.0;2;龙门;50-100;25;44.5;45.2;19.0;10.0;;;70.0;8;;;否;是;孔铜;≥25;37.46;28.91;40.09;38.11;29.57;40.09;35.7;ACC;25.0;30.0;1;28.91;40.09;35.7;5.12;11.18;390825;J0200320A00.0;622.0;528.0;253.0;166.0;0.2/0.151;44.5;45.2;1.6;0.3;11809.0;5.333333333333334;328416.0;0.2;0.151;False;28.91;40.09;11.180000000000003;0.1564;3.91;0.3
DCI-20241215491;ECI-20241215003;WOA241209232-00-003-003;J0400402A00.0;2#龙门图电线;喷锡;A板;正片;短边;0.7;622.0;514.0;0.4;H0154;东威;5;5;17;45.0;19.0;2;龙门;70;单点≥20，平均≥25;39.4;39.4;17.0;10.0;;;70.0;8;;;否;是;孔铜;≥20平均25;24.83;28.26;36.8;35.49;29.57;40.09;32.5;ACC;20.0;25.0;0;24.83;40.09;32.51;5.84;15.26000000000001;383789;J0400402A00.0;622.0;514.0;290.0;190.0;0.254/0.254;39.4;39.4;1.6;0.4;9162.0;4.0;319708.0;0.254;0.254;False;24.83;40.09;15.260000000000005;0.2414999999999999;4.829999999999998;0.4
DCI-20241216286;ECI-20241215004;WOA241213428-00-001-002;J0200399A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;580.0;477.0;0.4;H0153;东威;5;5;17;45.0;19.0;2;龙门;35;18;60.0;71.0;17.0;11.0;;;60.0;8;;;;;孔铜;≥18平均20;30.89;24.31;28.26;31.54;24.31;29.57;28.14;ACC;18.0;23.0;0;24.31;31.54;28.15;3.18;7.23;389549;J0200399A00.0;580.0;477.0;274.0;151.0;0.3/0.2;60.2;71.3;1.6;0.4;7820.0;4.0;276660.0;0.3;0.2;False;24.31;31.54;7.23;0.3505555555555555;6.309999999999999;0.4
DCI-20241216288;ECI-20241216001;WOA241211302-00-001-003;J0400376A00.0;1#东威图电VCP线;沉锡;A板;正片;短边;0.36;600.0;470.0;0.325;H0080;东威;5;5;17;45.0;19.0;2;东威;38;20;41.0;47.0;30.0;15.0;45;40;36.0;6;1;;;;孔铜;≥20平均25;34.83;26.94;39.43;34.83;26.29;40.09;33.73;ACC;20.0;25.0;0;26.29;40.09;33.73;5.95;13.8;377025;J0400376A00.0;600.0;470.0;351.0;222.0;0.2/0.204;41.64;47.62;1.65;0.325;2340.0;5.076923076923077;282000.0;0.2;0.204;True;26.29;40.09;13.800000000000004;0.31449999999999995;6.289999999999999;0.325
DCI-20241216290;ECI-20241216002;WOA241207202-00-002-002;JP4C081EB1;1#东威图电VCP线;沉金;A板;正片;短边;;613.0;497.0;0.35;H0080;东威;5;5;17;45.0;19.0;2;东威;33;25;59.0;58.0;36.0;15.0;45;40;36.0;6;1;;;;孔铜;25-50;41.4;27.6;40.74;40.09;27.6;40.74;36.36;ACC;25.0;30.0;1;27.6;41.4;36.36;6.8;13.8;51375;JP4C081EB1;613.0;497.0;210.0;152.2;0.15/0.2;59.0;58.0;2.0;0.35;12680.0;5.714285714285714;304661.0;0.15;0.2;True;27.6;41.4;13.799999999999997;0.10400000000000005;2.6000000000000014;0.35
DCI-20241216634;ECI-20241216003;WOA241214455-00-001-001;J0200395A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;622.0;546.0;0.5;H0080;东威;5;5;17;45.0;19.0;2;龙门;35;20;47.1;47.0;17.0;10.0;;;60.0;8;;;;;孔铜;≥20平均25;35.49;26.94;32.86;33.51;26.29;36.51;31.93;ACC;20.0;25.0;0;26.29;36.51;31.93;4.33;10.22;389566;J0200395A00.0;622.0;546.0;140.0;84.88;0.203/0.254;47.1;47.0;1.6;0.5;19110.0;3.2;339612.0;0.203;0.254;False;26.29;36.51;10.219999999999999;0.31449999999999995;6.289999999999999;0.5
DCI-20241217452;ECI-20241217003;WOA241204088-00-007-010;J0400355A00.0;1#东威图电VCP线;喷锡;A板;正片;短边;0.6;546.0;338.0;0.4;H0080;东威;5;5;17;45.0;19.0;2;东威;78.7;20;46.0;45.0;30.0;16.0;45;40;36.0;6;1;;;;孔铜;≥20平均25;32.86;25.63;34.83;32.86;24.97;33.79;30.82;ACC;20.0;25.0;0;24.97;34.83;30.82;4.34;9.86;374864;J0400355A00.0;546.0;338.0;313.83;253.2;0.25/0.25;46.02;45.27;1.6;0.4;8519.0;4.0;184548.0;0.25;0.25;True;24.97;34.83;9.86;0.24849999999999994;4.969999999999999;0.4
DCI-20241217453;ECI-20241217004;WOA241212374-00-002-003;JB2C679LA0;1#东威图电VCP线;喷锡;A板;正片;短边;1.5;560.0;500.0;0.4;H0080;东威;5;5;17;45.0;19.0;2;东威;52.9;20;80.0;79.0;32.0;16.0;45;45;36.0;6;1;;;;孔铜;≥20平均25;33.51;26.94;36.14;34.83;27.6;34.83;32.3;ACC;20.0;25.0;0;26.94;36.14;32.31;4.0;9.2;76654;JB2C679LA0;560.0;500.0;270.0;236.0;0.3/0.2;80.0;79.0;1.6;0.4;15375.0;4.0;280000.0;0.3;0.2;True;26.94;36.14;9.2;0.3470000000000001;6.940000000000001;0.4
